id,season,gameType,startTimeUTC,venueTimezone,venue,awayTeamName,homeTeamName,awayTeamScore,homeTeamScore,lastPeriod,homeTeamPrev10Wins,homeTeamPrev10Losses,homeTeamPrev10OTLs,awayTeamPrev10Wins,awayTeamPrev10Losses,awayTeamPrev10OTLs
2021020945,20212022,2,2022-03-13T17:00:00Z,US/Eastern,PPG Paints Arena,Carolina Hurricanes,Pittsburgh Penguins,2.0,4.0,REG,5,4,1,8,1,1
2021020942,20212022,2,2022-03-13T20:00:00Z,America/Toronto,Tim Hortons Field,Toronto Maple Leafs,Buffalo Sabres,2.0,5.0,REG,3,7,0,5,3,2
2021020944,20212022,2,2022-03-13T23:00:00Z,US/Eastern,Wells Fargo Center,Montréal Canadiens,Philadelphia Flyers,4.0,3.0,OT,3,6,1,7,2,1
2021020946,20212022,2,2022-03-13T23:00:00Z,US/Eastern,Nationwide Arena,Vegas Golden Knights,Columbus Blue Jackets,4.0,6.0,REG,4,4,2,4,6,0
2021020947,20212022,2,2022-03-13T23:00:00Z,US/Central,Enterprise Center,Winnipeg Jets,St. Louis Blues,4.0,3.0,OT,6,3,1,4,4,2
2021020948,20212022,2,2022-03-13T23:00:00Z,US/Central,Xcel Energy Center,Nashville Predators,Minnesota Wild,6.0,2.0,REG,3,6,1,5,5,0
2021020943,20212022,2,2022-03-13T23:30:00Z,America/New_York,UBS Arena,Anaheim Ducks,New York Islanders,3.0,4.0,REG,5,4,1,4,5,1
2021020949,20212022,2,2022-03-14T00:00:00Z,America/Denver,Ball Arena,Calgary Flames,Colorado Avalanche,0.0,3.0,REG,5,4,1,7,2,1
2021020950,20212022,2,2022-03-14T02:00:00Z,America/Vancouver,Rogers Arena,Tampa Bay Lightning,Vancouver Canucks,2.0,1.0,REG,7,2,1,6,4,0
2021020951,20212022,2,2022-03-14T02:00:00Z,America/Los_Angeles,Crypto.com Arena,Florida Panthers,Los Angeles Kings,2.0,3.0,SO,6,3,1,7,3,0
2021020952,20212022,2,2022-03-14T23:30:00Z,US/Eastern,Canadian Tire Centre,Arizona Coyotes,Ottawa Senators,5.0,3.0,REG,3,7,0,6,4,0
2021020953,20212022,2,2022-03-15T23:00:00Z,America/Toronto,Scotiabank Arena,Dallas Stars,Toronto Maple Leafs,0.0,4.0,REG,5,3,2,6,3,1
2021020954,20212022,2,2022-03-15T23:00:00Z,America/Montreal,Centre Bell,Arizona Coyotes,Montréal Canadiens,6.0,3.0,REG,7,2,1,7,3,0
2021020955,20212022,2,2022-03-15T23:00:00Z,America/New_York,Madison Square Garden,Anaheim Ducks,New York Rangers,3.0,4.0,OT,6,4,0,3,6,1
2021020956,20212022,2,2022-03-15T23:00:00Z,US/Eastern,Capital One Arena,New York Islanders,Washington Capitals,3.0,4.0,SO,6,3,1,5,4,1
2021020958,20212022,2,2022-03-16T00:00:00Z,US/Central,Bridgestone Arena,Pittsburgh Penguins,Nashville Predators,1.0,4.0,REG,6,4,0,5,4,1
2021020959,20212022,2,2022-03-16T00:00:00Z,America/Winnipeg,Canada Life Centre,Vegas Golden Knights,Winnipeg Jets,3.0,7.0,REG,5,3,2,3,7,0
2021020957,20212022,2,2022-03-16T00:30:00Z,America/Chicago,United Center,Boston Bruins,Chicago Blackhawks,2.0,1.0,OT,4,5,1,8,1,1
2021020960,20212022,2,2022-03-16T01:00:00Z,America/Edmonton,Rogers Place,Detroit Red Wings,Edmonton Oilers,5.0,7.0,REG,4,5,1,2,7,1
2021020961,20212022,2,2022-03-16T02:00:00Z,America/Vancouver,Rogers Arena,New Jersey Devils,Vancouver Canucks,3.0,6.0,REG,6,3,1,5,5,0
2021020962,20212022,2,2022-03-16T02:30:00Z,America/Los_Angeles,Crypto.com Arena,Colorado Avalanche,Los Angeles Kings,3.0,0.0,REG,6,3,1,6,3,1
2021020963,20212022,2,2022-03-16T02:30:00Z,US/Pacific,SAP Center at San Jose,Florida Panthers,San Jose Sharks,3.0,2.0,OT,4,4,2,6,3,1
2021020964,20212022,2,2022-03-16T23:30:00Z,US/Eastern,Canadian Tire Centre,Columbus Blue Jackets,Ottawa Senators,4.0,1.0,REG,3,7,0,4,4,2
